Date : 2024-07-30 22:45:17
Directory : /Users/matejforejt/Desktop/Projects/porfolio-final/src
Total : 182 files,  11255 codes, 385 comments, 1271 blanks, all 12911 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| components/LandingPage/OfferSections/Design                                                                                       |          2 |        183 |          1 |         14 |        198 |
| components/LandingPage/OfferSections/Sales                                                                                        |          2 |        185 |          3 |         12 |        200 |
| components/LandingPage/OfferSections/Services                                                                                     |          2 |        182 |          1 |         12 |        195 |
| components/LandingPage/ParallaxZoom                                                                                               |          2 |        277 |          3 |         23 |        303 |
| components/LandingPage/Slider                                                                                                     |          2 |        296 |          2 |         25 |        323 |
| components/MaterialsPage                                                                                                          |          7 |        531 |         18 |         61 |        610 |
| components/MaterialsPage/FreeStuff                                                                                                |          4 |        372 |         14 |         43 |        429 |
| components/MaterialsPage/FreeStuff (Files)                                                                                        |          2 |        255 |         13 |         38 |        306 |
| components/MaterialsPage/FreeStuff/Projects                                                                                       |          2 |        117 |          1 |          5 |        123 |
| components/MaterialsPage/Landing                                                                                                  |          3 |        159 |          4 |         18 |        181 |
| components/Navbar                                                                                                                 |          2 |        235 |          3 |         15 |        253 |
| components/Preloader                                                                                                              |          3 |         95 |          1 |         11 |        107 |
| components/ProjectsPage                                                                                                           |         11 |        803 |         22 |         89 |        914 |
| components/ProjectsPage/Projects                                                                                                  |         11 |        803 |         22 |         89 |        914 |
| components/ProjectsPage/Projects (Files)                                                                                          |          3 |        344 |          3 |         34 |        381 |
| components/ProjectsPage/Projects/IconList                                                                                         |          2 |        232 |          6 |         25 |        263 |
| components/ProjectsPage/Projects/Model                                                                                            |          1 |         70 |         10 |         13 |         93 |
| components/ProjectsPage/Projects/Projects                                                                                         |          2 |        107 |          0 |         10 |        117 |
| components/ProjectsPage/Projects/Scene                                                                                            |          2 |         26 |          0 |          4 |         30 |
| components/ProjectsPage/Projects/Shader                                                                                           |          1 |         24 |          3 |          3 |         30 |
| components/ProjectsTemplate                                                                                                       |         24 |      1,572 |         17 |        161 |      1,750 |
| components/ProjectsTemplate/Description                                                                                           |          2 |         83 |          1 |         10 |         94 |
| components/ProjectsTemplate/Intro                                                                                                 |          2 |         35 |          0 |          9 |         44 |
| components/ProjectsTemplate/NextProjects                                                                                          |          4 |        353 |          6 |         47 |        406 |
| components/ProjectsTemplate/NextProjects (Files)                                                                                  |          2 |        108 |          0 |         15 |        123 |
| components/ProjectsTemplate/NextProjects/Projects                                                                                 |          2 |        245 |          6 |         32 |        283 |
| components/ProjectsTemplate/ParallaxZoom                                                                                          |          2 |        276 |          3 |         23 |        302 |
| components/ProjectsTemplate/Sections                                                                                              |         12 |        727 |          7 |         59 |        793 |
| components/ProjectsTemplate/Sections (Files)                                                                                      |          2 |         66 |          3 |          8 |         77 |
| components/ProjectsTemplate/Sections/Introduction                                                                                 |          2 |        139 |          1 |         11 |        151 |
| components/ProjectsTemplate/Sections/MobileView                                                                                   |          4 |        241 |          1 |         20 |        262 |
| components/ProjectsTemplate/Sections/MobileView (Files)                                                                           |          2 |        103 |          0 |         13 |        116 |
| components/ProjectsTemplate/Sections/MobileView/Projects                                                                          |          2 |        138 |          1 |          7 |        146 |
| components/ProjectsTemplate/Sections/Services                                                                                     |          2 |        140 |          1 |         10 |        151 |
| components/ProjectsTemplate/Sections/StyleChoice                                                                                  |          2 |        141 |          1 |         10 |        152 |
| components/ProjectsTemplate/TopBar                                                                                                |          2 |         98 |          0 |         13 |        111 |
| components/transition                                                                                                             |          3 |        177 |          0 |         15 |        192 |
| components/transition/CurveTransition                                                                                             |          3 |        177 |          0 |         15 |        192 |
| components/ui                                                                                                                     |         11 |        849 |          8 |         97 |        954 |
| constants                                                                                                                         |          1 |        198 |          0 |          5 |        203 |
| context                                                                                                                           |          1 |         23 |          2 |          6 |         31 |
| pages                                                                                                                             |         34 |      1,273 |        138 |        269 |      1,680 |
| pages (Files)                                                                                                                     |          3 |        106 |         46 |         34 |        186 |
| pages/about                                                                                                                       |          2 |         49 |          0 |          7 |         56 |
| pages/api                                                                                                                         |          2 |         18 |          1 |          3 |         22 |
| pages/contact                                                                                                                     |          2 |         43 |          0 |         10 |         53 |
| pages/cookies                                                                                                                     |          2 |         38 |          0 |          8 |         46 |
| pages/materials                                                                                                                   |          2 |         40 |          0 |          9 |         49 |
| pages/ochrana-osobnich-udaju                                                                                                      |          2 |         38 |          0 |          8 |         46 |
| pages/projects                                                                                                                    |         19 |        941 |         91 |        190 |      1,222 |
| pages/projects (Files)                                                                                                            |          1 |         41 |          1 |         10 |         52 |
| pages/projects/3d-pc                                                                                                              |          1 |         50 |          5 |         10 |         65 |
| pages/projects/3d-tee                                                                                                             |          1 |         50 |          5 |         10 |         65 |
| pages/projects/3d-windmill                                                                                                        |          1 |         50 |          5 |         10 |         65 |
| pages/projects/agency                                                                                                             |          1 |         50 |          5 |         10 |         65 |
| pages/projects/apple-site                                                                                                         |          1 |         50 |          5 |         10 |         65 |
| pages/projects/bank                                                                                                               |          1 |         50 |          5 |         10 |         65 |
| pages/projects/blog                                                                                                               |          1 |         50 |          5 |         10 |         65 |
| pages/projects/brainwave                                                                                                          |          1 |         50 |          5 |         10 |         65 |
| pages/projects/car-app                                                                                                            |          1 |         50 |          5 |         10 |         65 |
| pages/projects/components                                                                                                         |          1 |         50 |          5 |         10 |         65 |
| pages/projects/denis-clone                                                                                                        |          1 |         50 |          5 |         10 |         65 |
| pages/projects/e-comm                                                                                                             |          1 |         50 |          5 |         10 |         65 |
| pages/projects/framer                                                                                                             |          1 |         50 |          5 |         10 |         65 |
| pages/projects/nft                                                                                                                |          1 |         50 |          5 |         10 |         65 |
| pages/projects/restaurant                                                                                                         |          1 |         50 |          5 |         10 |         65 |
| pages/projects/smooth-scroll                                                                                                      |          1 |         50 |          5 |         10 |         65 |
| pages/projects/sushi                                                                                                              |          1 |         50 |          5 |         10 |         65 |
| pages/projects/travel                                                                                                             |          1 |         50 |          5 |         10 |         65 |
| styles                                                                                                                            |          2 |         93 |          0 |          5 |         98 |
| utils                                                                                                                             |          3 |         78 |         11 |         18 |        107 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                          | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/matejforejt/Desktop/Projects/porfolio-final/public/images/landing/arrow.svg                                                | XML            |         -3 |          0 |         -1 |         -4 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/public/images/projects/icon.svg                                                | XML            |        -39 |          0 |         -2 |        -41 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/public/images/projects/list.svg                                                | XML            |        -15 |          0 |         -2 |        -17 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/public/mask.svg                                                                | XML            |         -3 |          0 |         -1 |         -4 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/public/next.svg                                                                | XML            |         -1 |          0 |          0 |         -1 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/public/vercel.svg                                                              | XML            |         -1 |          0 |          0 |         -1 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Programing/index.jsx                    | JavaScript JSX |         57 |          1 |          6 |         64 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Programing/style.module.scss            | SCSS           |         84 |          0 |          4 |         88 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/School/index.jsx                        | JavaScript JSX |         57 |          1 |          6 |         64 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/School/style.module.scss                | SCSS           |         83 |          0 |          4 |         87 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Sport/index.jsx                         | JavaScript JSX |         57 |          1 |          6 |         64 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Sport/style.module.scss                 | SCSS           |         83 |          0 |          4 |         87 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/index.jsx                               | JavaScript JSX |         32 |          0 |          6 |         38 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/style.module.scss                       | SCSS           |         34 |          0 |          2 |         36 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Description/index.jsx                                 | JavaScript JSX |         58 |          1 |          8 |         67 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Description/style.module.scss                         | SCSS           |         25 |          0 |          2 |         27 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Intro/index.jsx                                       | JavaScript JSX |         89 |          1 |         17 |        107 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Intro/style.module.scss                               | SCSS           |         52 |          0 |          1 |         53 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Landing/index.jsx                                     | JavaScript JSX |         76 |          2 |          9 |         87 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Landing/style.module.scss                             | SCSS           |         52 |          0 |          4 |         56 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Service/index.jsx                                     | JavaScript JSX |         99 |          1 |         16 |        116 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Service/style.module.scss                             | SCSS           |        103 |          0 |          0 |        103 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Calendly/index.jsx                                  | JavaScript JSX |         62 |          1 |         10 |         73 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Calendly/style.module.scss                          | SCSS           |         51 |          0 |          5 |         56 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Contact/index.jsx                                   | JavaScript JSX |        341 |          1 |         22 |        364 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Contact/style.module.scss                           | SCSS           |        277 |          0 |         12 |        289 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Footer/index.jsx                                    | JavaScript JSX |         73 |          6 |         10 |         89 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Footer/style.module.scss                            | SCSS           |         76 |          0 |          3 |         79 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Footer/index.jsx                                                | JavaScript JSX |        164 |         41 |         40 |        245 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Footer/style.module.scss                                        | SCSS           |        253 |          0 |         12 |        265 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/anim.js                                                  | JavaScript     |         72 |          0 |          7 |         79 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/index.jsx                                                | JavaScript JSX |         49 |         57 |         18 |        124 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Body/index.jsx                                       | JavaScript JSX |         40 |          0 |          4 |         44 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Body/style.module.scss                               | SCSS           |         30 |          0 |          6 |         36 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Curve/index.jsx                                      | JavaScript JSX |         29 |          4 |          9 |         42 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Curve/style.module.scss                              | SCSS           |         10 |          0 |          0 |         10 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Footer/index.jsx                                     | JavaScript JSX |         56 |          1 |          5 |         62 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Footer/style.module.scss                             | SCSS           |         60 |          0 |          9 |         69 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Image/index.jsx                                      | JavaScript JSX |         16 |          0 |          1 |         17 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Image/style.module.scss                              | SCSS           |         16 |          0 |          5 |         21 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/index.jsx                                            | JavaScript JSX |         49 |          0 |          4 |         53 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/style.module.scss                                    | SCSS           |         22 |          0 |          4 |         26 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/style.module.scss                                        | SCSS           |        113 |          0 |         20 |        133 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Description/index.jsx                               | JavaScript JSX |         56 |          0 |          7 |         63 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Description/style.module.scss                       | SCSS           |         81 |          0 |          5 |         86 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/FreeStuff/Projects/index.jsx                        | JavaScript JSX |         68 |          1 |          6 |         75 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/FreeStuff/Projects/style.module.scss                | SCSS           |         49 |          0 |          0 |         49 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/FreeStuff/index.jsx                                 | JavaScript JSX |         84 |          1 |         21 |        106 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/FreeStuff/style.module.scss                         | SCSS           |         76 |          0 |          5 |         81 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/IntroText/index.jsx                                 | JavaScript JSX |         78 |         12 |         18 |        108 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/IntroText/style.module.scss                         | SCSS           |         54 |          0 |          1 |         55 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Landing/index.jsx                                   | JavaScript JSX |         69 |          2 |          7 |         78 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Landing/style.module.scss                           | SCSS           |         52 |          0 |          4 |         56 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/Timer/index.jsx                           | JavaScript JSX |         38 |          0 |          9 |         47 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/Timer/style.module.scss                   | SCSS           |          5 |          0 |          0 |          5 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/index.jsx                                 | JavaScript JSX |         67 |          1 |          7 |         75 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/style.module.scss                         | SCSS           |        107 |          0 |          0 |        107 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Model/index.jsx                          | JavaScript JSX |         68 |         11 |         11 |         90 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Projects/index.jsx                       | JavaScript JSX |         37 |          1 |          3 |         41 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Projects/styles.module.scss              | SCSS           |         73 |          0 |          5 |         78 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Scene/index.jsx                          | JavaScript JSX |         12 |          2 |          3 |         17 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Scene/style.module.scss                  | SCSS           |          7 |          0 |          0 |          7 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Shader/index.js                          | JavaScript     |         24 |          3 |          3 |         30 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/data.js                                  | JavaScript     |         30 |          0 |          0 |         30 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/index.jsx                                | JavaScript JSX |         20 |          1 |          2 |         23 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/styles.module.scss                       | SCSS           |         22 |          0 |          1 |         23 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Design/index.jsx                      | JavaScript JSX |         95 |          1 |          9 |        105 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Design/style.module.scss              | SCSS           |         88 |          0 |          5 |         93 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Sales/index.jsx                       | JavaScript JSX |         95 |          1 |          8 |        104 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Sales/style.module.scss               | SCSS           |         90 |          2 |          4 |         96 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Services/index.jsx                    | JavaScript JSX |         95 |          1 |          8 |        104 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/Services/style.module.scss            | SCSS           |         87 |          0 |          4 |         91 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/index.jsx                             | JavaScript JSX |         32 |          0 |          6 |         38 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/style.module.scss                     | SCSS           |         33 |          0 |          2 |         35 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/ParallaxZoom/index.jsx                              | JavaScript JSX |        169 |          3 |         19 |        191 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/ParallaxZoom/style.module.scss                      | SCSS           |        108 |          0 |          4 |        112 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Slider/index.jsx                                    | JavaScript JSX |        230 |          2 |         20 |        252 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Slider/style.module.scss                            | SCSS           |         66 |          0 |          5 |         71 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/Projects/index.jsx                      | JavaScript JSX |         68 |          1 |          5 |         74 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/Projects/style.module.scss              | SCSS           |         49 |          0 |          0 |         49 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/index.jsx                               | JavaScript JSX |        145 |         13 |         32 |        190 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/style.module.scss                       | SCSS           |        110 |          0 |          6 |        116 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/anim.js                                   | JavaScript     |         32 |          2 |          1 |         35 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/index.jsx                                 | JavaScript JSX |         73 |          2 |         12 |         87 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/style.module.scss                         | SCSS           |         54 |          0 |          5 |         59 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Navbar/index.jsx                                                | JavaScript JSX |         45 |          3 |          6 |         54 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Navbar/style.module.scss                                        | SCSS           |        190 |          0 |          9 |        199 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/anim.js                                               | JavaScript     |         18 |          0 |          3 |         21 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/index.jsx                                             | JavaScript JSX |         42 |          1 |          8 |         51 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/style.module.scss                                     | SCSS           |         35 |          0 |          0 |         35 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/index.jsx                        | JavaScript JSX |        153 |          6 |         22 |        181 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/style.module.scss                | SCSS           |         79 |          0 |          3 |         82 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Model/index.jsx                           | JavaScript JSX |         70 |         10 |         13 |         93 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Projects/index.jsx                        | JavaScript JSX |         49 |          0 |          4 |         53 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Projects/styles.module.scss               | SCSS           |         58 |          0 |          6 |         64 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Scene/index.jsx                           | JavaScript JSX |         12 |          0 |          3 |         15 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Scene/style.module.scss                   | SCSS           |         14 |          0 |          1 |         15 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Shader/index.js                           | JavaScript     |         24 |          3 |          3 |         30 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/anim.js                                   | JavaScript     |         79 |          1 |          5 |         85 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/index.jsx                                 | JavaScript JSX |        117 |          2 |         12 |        131 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/styles.module.scss                        | SCSS           |        148 |          0 |         17 |        165 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Description/index.jsx                          | JavaScript JSX |         58 |          1 |          8 |         67 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Description/style.module.scss                  | SCSS           |         25 |          0 |          2 |         27 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Intro/index.jsx                                | JavaScript JSX |         22 |          0 |          9 |         31 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Intro/style.module.scss                        | SCSS           |         13 |          0 |          0 |         13 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/index.jsx                | JavaScript JSX |        164 |          6 |         27 |        197 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/style.module.scss        | SCSS           |         81 |          0 |          5 |         86 |
| /Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/index.jsx                         | JavaScript JSX |         30 |          0 |          9 |         39 |
